LAT	       LONG	     CARB1M_AVG	CARB30_AVG	ORGC1M_AVG	ORGC30C_AV	CLAY30_AVG	SAND30_AVG	SILT30_AVG	BULKD30_AV	CLAY1M_AVG	SAND1M_AVG	SILT1M_AVG	BULKD1M_AV
57.750	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-3.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-3.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.417	-6.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
